Pot;Date;DAI;wheat_type;variety;Aph;Severity;Biomass;Inoculate;Gw;Nog;Noe;Eph;Evol;Parea;Prop10;Prop20;Prop30;Prop40;Prop50;Int50;Int40;Int30;Int20;Int10
M12;4/3/21;31;Durum;Kiko Nick;88,00;60,00;25,80;1,00;11,00;314,00;8,00;0,83;0,03;0,06;177,00;353,00;529,00;705,00;881,00;35,44;39,05;43,33;44,63;44,85
M13;4/3/21;31;Durum;Don Ricardo;91,00;2,00;44,40;1,00;18,80;384,00;8,00;0,87;0,06;0,11;770,00;1539,00;2308,00;3077,00;3846,00;26,21;29,46;33,63;37,82;37,53
M14;4/3/21;31;Durum;Amilcar;90,00;;57,40;0,00;29,40;683,00;10,00;0,84;0,05;0,11;532,00;1063,00;1594,00;2126,00;2657,00;37,10;39,71;40,76;39,98;42,41
M15;4/3/21;31;Durum;Kiko Nick;95,00;;64,10;0,00;29,80;660,00;15,00;0,93;0,06;0,15;432,00;863,00;1294,00;1725,00;2156,00;47,13;48,32;48,35;48,38;43,04
M16;4/3/21;31;Durum;Don Ricardo;88,00;;55,40;0,00;23,90;497,00;12,00;0,91;0,03;0,09;398,00;795,00;1192,00;1589,00;1987,00;43,58;45,32;47,75;48,39;45,46
M17;4/3/21;31;Durum;Amilcar;88,00;;63,50;0,00;30,20;690,00;10,00;0,82;0,04;0,10;870,00;1739,00;2609,00;3478,00;4348,00;42,23;44,29;45,58;49,30;47,73
M18;4/3/21;31;Durum;Don Ricardo;97,00;;46,40;0,00;23,80;502,00;12,00;0,93;0,05;0,12;534,00;1068,00;1602,00;2136,00;2670,00;44,71;47,67;51,50;51,78;40,51
M19;4/3/21;31;Durum;Kiko Nick;88,00;;56,50;0,00;26,50;612,00;16,00;0,89;0,03;0,08;357,00;714,00;1070,00;1427,00;1783,00;40,59;41,04;41,75;40,93;34,73
M20;4/3/21;31;Durum;Amilcar;93,00;40,00;47,20;1,00;22,60;565,00;11,00;0,90;0,04;0,10;366,00;731,00;1096,00;1462,00;1827,00;41,06;43,52;45,26;44,92;43,25
M21;4/3/21;31;Durum;Kiko Nick;85,00;60,00;36,90;1,00;12,10;348,00;12,00;0,87;0,06;0,13;1159,00;2318,00;3477,00;4636,00;5795,00;40,91;44,46;49,41;47,85;40,61
M22;4/3/21;31;Durum;Don Ricardo;91,00;2,00;43,20;1,00;15,20;296,00;8,00;0,76;0,04;0,11;570,00;1140,00;1710,00;2280,00;2850,00;43,68;46,34;48,03;46034,00;48,27
M23;4/3/21;31;Durum;Amilcar;87,00;30,00;43,10;1,00;20,80;587,00;9,00;0,80;0,03;0,08;232,00;463,00;694,00;925,00;1156,00;40,17;43,97;47,17;50,37;52,8
M24;4/3/21;31;Durum;Kiko Nick;84,00;;49,30;0,00;23,40;545,00;17,00;0,81;0,05;0,17;311,00;621,00;931,00;1241,00;1552,00;44,18;46,29;47,96;46,76;43,47
M25;4/3/21;31;Durum;Don Ricardo;83,00;0,00;49,50;1,00;21,10;430,00;13,00;0,86;0,04;0,10;1110,00;2220,00;3330,00;4440,00;5550,00;38,87;41,47;42,80;43,38;40,51
M26;4/3/21;31;Durum;Kiko Nick;92,00;;73,10;0,00;29,30;781,00;19,00;0,79;0,05;0,13;604,00;1208,00;1811,00;2415,00;3018,00;36,50;39,80;41,21;44,22;47,38
M27;4/3/21;31;Durum;Amilcar;92,00;40,00;43,80;1,00;19,30;459,00;8,00;0,89;0,05;0,11;491,00;981,00;1471,00;1961,00;2451,00;41,34;44,47;47,30;50,86;55,93
M28;4/3/21;31;Durum;Don Ricardo;91,00;;40,50;0,00;18,80;465,00;11,00;0,828;0,054;0,147;571;1142;1713;2284;2855;40,78;42,66;43,96;44,87;44,71
M1;4/3/21;31;Bread;Conil;100,00;;52,60;0,00;27,00;574,00;9,00;0,95;0,06;0,16;471,00;941,00;1411,00;1882,00;2352,00;44,24;45,55;47,22;49,82;54,97
M2;4/3/21;31;Bread;Arthur Nick;95,00;;35,10;0,00;20,20;483,00;7,00;0,94;0,02;0,06;260,00;520,00;779,00;1039,00;1299,00;41,09;41,97;41,16;39,43;43,52
M3;4/3/21;31;Bread;Califa;79,00;;52,10;0,00;24,40;741,00;9,00;0,80;0,03;0,09;213,00;426,00;639,00;851,00;1064,00;45,26;48,08;50,96;53,75;56,39
M4;4/3/21;31;Bread;Arthur Nick;84,00;30,00;29,80;1,00;15,30;388,00;8,00;0,83;0,03;0,06;213,00;425,00;637,00;849,00;1061,00;33,63;38,13;43,84;46,04;41,41
M5;4/3/21;31;Bread;Conil;97,00;;51,50;0,00;25,70;578,00;12,00;0,92;0,06;0,021;965,00;1930,00;2895,00;3859,00;4824,00;38,87;41,90;42,11;44,64;41,21
M6;4/3/21;31;Bread;Conil;104,00;20,00;47,30;1,00;23,90;515,00;9,00;0,96;0,02;0,08;437,00;873,00;1310,00;1746,00;2183,00;39,35;39,12;38,03;35,24;32,64
M7;4/3/21;31;Bread;Califa;75,00;;49,80;0,00;21,80;686,00;8,00;0,76;0,02;0,07;238,00;475,00;712,00;949,00;1187,00;48,87;52,09;52,95;51,86;53,92
M8;4/3/21;31;Bread;Arthur Nick;94,00;20,00;42,70;1,00;23,20;563,00;9,00;0,96;0,02;0,04;323,00;646,00;969,00;1292,00;1615,00;42,39;43,83;45,09;46,16;41,79
M9;4/3/21;31;Bread;Califa;74,00;60,00;24,10;1,00;10,40;339,00;7,00;0,75;0,03;0,09;417,00;833,00;1249,00;1665,00;2081,00;30,24;32,97;37,58;44,42;49,65
M10;4/3/21;31;Bread;Conil;99,00;25,00;39,50;1,00;19,70;442,00;7,00;0,96;0,07;0,14;422,00;844,00;1265,00;1687,00;2109,00;39,87;42,61;43,10;39,88;33,97
M11;4/3/21;31;Bread;Arthur Nick;92,00;;39,90;0,00;20,90;544,00;8,00;0,93;0,03;0,07;220,00;439,00;658,00;878,00;1097,00;44,75;47,46;48,07;45,77;41,45
M12;4/3/21;31;Bread;Califa;74,00;40,00;28,70;1,00;13,60;365,00;7,00;0,79;0,02;0,07;207,00;413,00;620,00;826,00;1033,00;53,36;56,45;59,11;62,69;68,05
M13;4/3/21;31;Bread;Conil;80,00;25,00;26,90;1,00;11,80;277,00;7,00;0,82;0,02;0,08;403,00;805,00;1207,00;1610,00;2012,00;39,74;40,88;41,25;40,88;39,74
M14;4/3/21;31;Bread;Califa;74,00;40,00;25,60;1,00;10,90;258,00;5,00;0,74;0,02;0,08;591,00;1181,00;1771,00;2361,00;2951,00;41,02;43,94;46,02;48,02;46,29
M15;4/3/21;31;Bread;Arthur Nick;89,00;20,00;38,50;1,00;20,10;503,00;8,00;0,91;0,02;0,06;444,00;888,00;1331,00;1775,00;2218,00;46,16;45,41;45,11;45,19;47,96
M16;4/3/21;31;Bread;Arthur Nick;89,00;15,00;40,60;1,00;21,40;547,00;9,00;0,89;0,02;0,05;226,00;452,00;677,00;903,00;1129,00;41,91;44,23;44,55;42,13;40,58
M17;4/3/21;31;Bread;Califa;75,00;60,00;23,40;1,00;14,40;315,00;6,00;0,75;0,02;0,06;238,00;475,00;712,00;949,00;1187,00;40,47;45,16;49,05;53,88;62,6
M18;4/3/21;31;Bread;Conil;105,00;;48,30;0,00;24,80;499,00;10,00;0,91;0,03;0,10;357,00;713,00;1069,00;1425,00;1781,00;42,19;41,87;41,88;43,55;43,26
M19;4/3/21;31;Bread;Arthur Nick;91,00;;45,10;0,00;24,00;606,00;9,00;0,92;0,03;0,07;254,00;508,00;762,00;1016,00;1270,00;43,03;44,07;42,69;44,10;40,02
M20;4/3/21;31;Bread;Califa;73,00;60,00;30,20;1,00;15,00;321,00;7,00;0,74;0,02;0,07;359,00;718,00;1076,00;1435,00;1793,00;43,84;46,52;47,56;48,43;48,14
M21;4/3/21;31;Bread;Arthur Nick;91,00;;38,20;0,00;21,10;537,00;8,00;0,96;0,04;0,12;559,00;1117,00;1675,00;2233,00;2792,00;42,05;41,02;39,75;38,56;35,92
M22;4/3/21;31;Bread;Conil;100,00;15,00;42,60;1,00;21,80;462,00;9,00;0,87;0,08;0,15;729,00;1458,00;2186,00;2915,00;3643,00;31,14;35,30;41,94;46,41;37,32
M23;4/3/21;31;Bread;Califa;74,00;60,00;26,70;1,00;12,40;338,00;7,00;0,74;0,02;0,08;286,00;571,00;856,00;1141,00;1426,00;39,63;43,72;47,68;49,61;50,02
M24;4/3/21;31;Bread;Conil;97,00;25,00;33,80;1,00;15,70;338,00;7,00;0,95;0,03;0,07;138,00;275,00;412,00;549,00;686,00;40,15;42,87;42,80;38,84;36,33
M25;4/3/21;31;Bread;Califa;79,00;;52,00;0,00;25,60;750,00;13,00;0,80;0,04;0,12;861,00;1722,00;2583,00;3443,00;4304,00;41,48;45,00;48,46;50,03;52,62
M26;4/3/21;31;Bread;Conil;106,00;;47,00;0,00;21,00;479,00;8,00;0,95;0,05;0,12;597,00;1193,00;1789,00;2386,00;2982,00;39,34;39,85;38,74;36,40;31,64
M27;4/3/21;31;Bread;Arthur Nick;84,00;20,00;38,30;1,00;18,60;545,00;10,00;0,85;0,06;0,13;301,00;602,00;903,00;1204,00;1505,00;36,30;40,96;42,35;45,39;44,4
M28;4/3/21;31;Bread;Conil;99,00;25,00;49,30;1,00;23,60;530,00;10,00;0,94;0,06;0,14;375,00;750,00;1125,00;1500,00;1875,00;43,96;44,16;45,28;45,16;45,11
M29;4/3/21;31;Bread;Arthur Nick;92,00;25,00;40,40;1,00;22,50;573,00;7,00;0,94;0,04;0,07;592,00;1183,00;1774,00;2365,00;2956,00;38,58;42,84;43,00;43,10;41,57
M30;4/3/21;31;Bread;Califa;76,00;;54,90;0,00;30,60;774,00;11,00;0,79;0,04;0,13;819,00;1637,00;2455,00;3273,00;4091,00;51,73;55,69;58,87;61,03;64,79
M31;4/3/21;31;Bread;Conil;98,00;;55,70;0,00;24,90;510,00;11,00;0,96;0,07;0,16;295,00;590,00;885,00;1179,00;1474,00;42,40;44,83;47,26;45,55;43,62
M32;4/3/21;31;Bread;Arthur Nick;91,00;;49,50;0,00;25,80;688,00;11,00;0,85;0,04;0,10;288,00;576,00;864,00;1152,00;1440,00;40,33;42,87;44,93;49,23;50,73
M33;4/3/21;31;Bread;Conil;98,00;;64,50;0,00;30,50;710,00;13,00;0,95;0,09;0,20;1012,00;2023,00;3034,00;4045,00;5056,00;39,98;41,23;41,23;39,20;37,96
M34;4/3/21;31;Bread;Califa;76,00;;60,20;0,00;31,70;788,00;13,00;0,83;0,02;0,09;620,00;1240,00;1859,00;2479,00;3098,00;55,20;56,58;56,76;56,82;56,37
M35;4/3/21;31;Bread;Arthur Nick;92,00;;48,20;0,00;25,40;657,00;10,00;0,93;0,03;0,08;238,00;476,00;713,00;951,00;1188,00;38,98;39,96;40,63;41,31;37,46
M36;4/3/21;31;Bread;Califa;80,00;;65,40;0,00;34,40;823,00;12,00;0,79;0,03;0,09;396,00;792,00;1188,00;1584,00;1980,00;46,87;50,27;54,01;56,26;54,59
M1;12/3/21;39;Durum;Don Ricardo;98,00;;67,30;0,00;33,40;643,00;15,00;;;;;;;;;;;;;
M2;12/3/21;39;Durum;Kiko Nick;87,00;60,00;26,00;1,00;10,60;308,00;9,00;0,94;0,03;0,08;599,00;1197,00;1795,00;2393,00;2991,00;51,21;52,43;53,67;57,41;53,34
M3;12/3/21;39;Durum;Amilcar;92,00;;55,40;0,00;30,70;721,00;12,00;0,83;0,03;0,09;295,00;589,00;884,00;1178,00;1474,00;44,23;46,83;47,04;44,94;48,65
M4;12/3/21;39;Durum;Don Ricardo;98,00;0,00;50,50;1,00;22,20;454,00;11,00;0,83;0,02;0,09;284,00;567,00;850,00;1134,00;1417,00;53,02;54,31;54,56;52,59;51,59
M5;12/3/21;39;Durum;Amilcar;86,00;;39,80;0,00;19,60;540,00;11,00;0,94;0,03;0,07;314,00;627,00;940,00;1253,00;1567,00;43,40;44,69;45,76;46,50;48,84
M6;12/3/21;39;Durum;Kiko Nick;95,00;60,00;33,10;1,00;15,00;398,00;11,00;0,83;0,04;0,10;976,00;1952,00;2927,00;3903,00;4879,00;40,76;45,11;47,48;48,91;50,9
M7;12/3/21;39;Durum;Don Ricardo;95,00;;44,10;0,00;20,50;478,00;12,00;0,91;0,02;0,04;562,00;1123,00;1684,00;2245,00;2807,00;45,53;46,26;45,20;44,53;44,06
M8;12/3/21;39;Durum;Amilcar;91,00;40,00;36,20;1,00;16,10;475,00;8,00;0,88;0,09;0,19;405,00;809,00;1214,00;1618,00;2023,00;35,59;40,46;45,14;47,28;47,11
M9;12/3/21;39;Durum;Kiko Nick;95,00;60,00;39,10;1,00;16,50;438,00;12,00;0,82;0,02;0,07;298,00;595,00;892,00;1189,00;1487,00;53,27;56,56;58,13;54,89;52,24
M10;12/3/21;39;Durum;Amilcar;87,00;40,00;34,80;1,00;14,60;374,00;8,00;0,93;0,02;0,07;1625,00;3249,00;4873,00;6497,00;8122,00;47,92;48,28;50,06;50,14;41,82
M11;12/3/21;39;Durum;Don Ricardo;98,00;;55,60;0,00;28,80;574,00;13,00;0,79;0,02;0,06;472,00;943,00;1414,00;1885,00;2356,00;49,73;53,53;58,22;63,98;62,63
M12;12/3/21;39;Durum;Kiko Nick;88,00;60,00;25,80;1,00;11,00;314,00;8,00;0,95;0,03;0,07;304,00;608,00;912,00;1216,00;1520,00;47,33;48,96;52,01;56,18;61,22
M13;12/3/21;39;Durum;Don Ricardo;90,00;2,00;44,40;1,00;18,80;384,00;8,00;0,85;0,03;0,07;211,00;422,00;633,00;844,00;1055,00;39,14;41,35;41,27;40,45;40,84
M14;12/3/21;39;Durum;Amilcar;90,00;;57,40;0,00;29,40;683,00;10,00;0,89;0,04;0,09;707,00;1414,00;2120,00;2827,00;3534,00;33,45;37,80;40,94;42,04;44,31
M15;12/3/21;39;Durum;Kiko Nick;95,00;;64,10;0,00;29,80;660,00;15,00;0,87;0,02;0,08;728,00;1456,00;2183,00;2911,00;3639,00;45,55;47,52;49,17;48,45;42,65
M16;12/3/21;39;Durum;Don Ricardo;89,00;;55,40;0,00;23,90;497,00;12,00;0,91;0,02;0,06;399,00;797,00;1195,00;1593,00;1991,00;42,21;42,23;41,77;40,88;37,7
M17;12/3/21;39;Durum;Amilcar;93,00;;63,50;0,00;30,20;690,00;10,00;0,90;0,02;0,06;363,00;726,00;1089,00;1452,00;1815,00;52,15;54,13;53,05;52,50;54,61
M18;12/3/21;39;Durum;Don Ricardo;97,00;;46,40;0,00;23,80;502,00;12,00;0,85;0,03;0,11;791,00;1581,00;2371,00;3162,00;3959,00;49,36;48,96;47,25;44,03;36,57
M19;12/3/21;39;Durum;Kiko Nick;93,00;;56,50;0,00;26,50;612,00;16,00;0,93;0,05;0,11;423,00;846,00;1268,00;1691,00;2113,00;41,72;43,46;44,53;45,60;44,81
M20;12/3/21;39;Durum;Amilcar;92,00;40,00;47,20;1,00;22,60;565,00;11,00;0,81;0,04;0,11;294,00;587,00;880,00;1173,00;1466,00;50,08;52,97;55,97;59,20;54,78
M21;12/3/21;39;Durum;Kiko Nick;85,00;60,00;36,90;1,00;12,10;348,00;12,00;0,91;0,03;0,09;213,00;426,00;638,00;851,00;1064,00;44,51;44,46;46,25;47,52;46,35
M22;12/3/21;39;Durum;Don Ricardo;92,00;2,00;43,20;1,00;15,20;296,00;8,00;0,87;0,03;0,06;328,00;656,00;984,00;1311,00;1639,00;37,76;40,79;42,92;43,43;41,39
M23;12/3/21;39;Durum;Amilcar;92,00;30,00;43,10;1,00;20,80;587,00;9,00;0,83;0,03;0,11;285,00;570,00;854,00;1139,00;1423,00;53,97;54,32;53,57;51,32;48,27
M24;12/3/21;39;Durum;Kiko Nick;86,00;;49,30;0,00;23,40;545,00;17,00;0,78;0,03;0,08;388,00;776,00;1163,00;1551,00;1938,00;44,05;47,64;49,30;50,52;49,62
M25;12/3/21;39;Durum;Don Ricardo;82,00;0,00;49,50;1,00;21,10;430,00;13,00;0,82;0,02;0,05;1592,00;3183,00;4774,00;6365,00;7956,00;51,52;52,74;52,79;53,05;49,31
M26;12/3/21;39;Durum;Kiko Nick;94,00;;73,10;0,00;29,30;781,00;19,00;0,92;0,03;0,08;635,00;1269,00;1903,00;2537,00;3171,00;45,58;45,77;45,73;44,11;41,7
M27;12/3/21;39;Durum;Amilcar;86,00;40,00;43,80;1,00;19,30;459,00;8,00;0,87;0,03;0,09;429,00;857,00;1285,00;1713,00;2142,00;47,94;48,83;50,42;49,88;46,52
M28;12/3/21;39;Durum;Don Ricardo;89,00;;40,50;0,00;18,80;465,00;11,00;0,89;0,04;0,09;217,00;433,00;649,00;865,00;1082,00;39,01;42,38;43,14;41,79;37,57
M29;12/3/21;39;Durum;Amilcar;85,00;;49,10;0,00;25,40;717,00;10,00;0,88;0,03;0,07;773,00;1545,00;2317,00;3089,00;3861,00;42,12;44,03;43,85;41,29;32,86
M30;12/3/21;39;Durum;Kiko Nick;87,00;;53,30;0,00;21,30;547,00;16,00;0,83;0,02;0,06;443,00;885,00;1327,00;1769,00;2212,00;51,71;49,82;50,64;52,76;45,37
M31;12/3/21;39;Durum;Don Ricardo;88,00;0,00;39,60;1,00;13,50;265,00;9,00;0,86;0,03;0,08;233,00;466,00;699,00;931,00;1164,00;50,52;54,98;58,30;58,98;52,25
M32;12/3/21;39;Durum;Amilcar;91,00;;45,00;0,00;24,80;643,00;10,00;0,83;0,05;0,14;221,00;442,00;663,00;884,00;1105,00;51,60;53,25;51,10;49,05;35,96
M33;12/3/21;39;Durum;Kiko Nick;90,00;60,00;37,40;1,00;13,50;429,00;12,00;0,80;0,04;0,09;606,00;1211,00;1816,00;2422,00;3027,00;43,14;47,80;50,74;56,47;53,49
M34;12/3/21;39;Durum;Amilcar;79,00;40,00;43,60;1,00;16,20;447,00;10,00;0,85;0,02;0,05;274,00;548,00;821,00;1095,00;1369,00;52,43;54,58;55,06;55,30;56,5
M35;12/3/21;39;Durum;Don Ricardo;92,00;0,00;47,30;1,00;20,90;389,00;12,00;0,88;0,03;0,07;315,00;630,00;945,00;1260,00;1575,00;47,18;49,03;49,57;52,96;55,97
M36;12/3/21;39;Durum;Kiko Nick;86,00;;75,20;0,00;33,20;878,00;21,00;0,81;0,02;0,08;388,00;775,00;1162,00;1550,00;1937,00;50,73;51,15;51,15;50,95;50,51
M1;12/3/21;39;Bread;Conil;99,00;;52,60;0,00;27,00;574,00;9,00;0,97;0,03;0,08;1426,00;2851,00;4277,00;5702,00;7128,00;41,13;41,87;43,78;43,84;43,52
M2;12/3/21;39;Bread;Arthur Nick;94,00;;35,10;0,00;20,20;483,00;7,00;0,94;0,06;0,12;452,00;903,00;1354,00;1805,00;2257,00;37,65;40,33;42,12;41,00;39,63
M3;12/3/21;39;Bread;Califa;75,00;;52,10;0,00;24,40;741,00;9,00;0,78;0,02;0,08;354,00;707,00;1060,00;1413,00;1767,00;45,70;48,06;50,03;53,39;50,62
M4;12/3/21;39;Bread;Arthur Nick;81,00;30,00;29,80;1,00;15,30;388,00;8,00;0,85;0,03;0,07;160,00;320,00;480,00;639,00;799,00;33,09;38,03;43,06;42,84;38,24
M5;12/3/21;39;Bread;Conil;98,00;;51,50;0,00;25,70;578,00;12,00;0,95;0,04;0,10;1317,00;2633,00;3949,00;5265,00;6582,00;42,78;44,97;44,00;38,88;35,1
M6;12/3/21;39;Bread;Conil;104,00;20,00;47,30;1,00;23,90;515,00;9,00;0,97;0,04;0,09;451,00;901,00;1351,00;1801,00;2252,00;40,15;40,98;40,36;40,20;32,37
M7;12/3/21;39;Bread;Califa;74,00;;49,80;0,00;21,80;686,00;8,00;0,76;0,02;0,10;320,00;639,00;958,00;1277,00;1596,00;47,36;50,15;54,20;58,43;58,53
M8;12/3/21;39;Bread;Arthur Nick;94,00;20,00;42,70;1,00;23,20;563,00;9,00;0,96;0,02;0,05;227,00;453,00;680,00;906,00;1133,00;42,49;44,32;42,85;39,36;30,41
M9;12/3/21;39;Bread;Califa;72,00;60,00;24,10;1,00;10,40;339,00;7,00;0,75;0,10;0,27;986,00;1971,00;2957,00;3942,00;4928,00;41,00;46,28;52,74;58,82;65,91
M10;12/3/21;39;Bread;Conil;98,00;25,00;39,50;1,00;19,70;442,00;7,00;0,93;0,06;0,14;507,00;1014,00;1521,00;2027,00;2534,00;41,31;43,49;45,27;44,04;42,29
M11;12/3/21;39;Bread;Arthur Nick;91,00;;39,90;0,00;20,90;544,00;8,00;0,93;0,04;0,12;248,00;495,00;742,00;990,00;1237,00;42,89;44,72;47,02;46,81;42,32
M12;12/3/21;39;Bread;Califa;73,00;40,00;28,70;1,00;13,60;365,00;7,00;0,77;0,02;0,06;196,00;391,00;586,00;781,00;976,00;48,86;53,46;58,39;61,06;68,87
M13;12/3/21;39;Bread;Conil;84,00;25,00;26,90;1,00;11,80;277,00;7,00;0,87;0,02;0,07;673,00;1345,00;2017,00;2689,00;3361,00;51,45;50,06;47,21;50,06;51,45
M14;12/3/21;39;Bread;Califa;72,00;40,00;25,60;1,00;10,90;258,00;5,00;0,73;0,01;0,05;407,00;813,00;1219,00;1625,00;2031,00;56,47;60,24;63,10;64,38;62,32
M15;12/3/21;39;Bread;Arthur Nick;88,00;20,00;38,50;1,00;20,10;503,00;8,00;0,90;0,02;0,05;255,00;510,00;765,00;1019,00;1274,00;51,24;52,78;53,80;56,25;56,97
M16;12/3/21;39;Bread;Arthur Nick;90,00;15,00;40,60;1,00;21,40;547,00;9,00;0,90;0,02;0,04;202,00;404,00;606,00;807,00;1009,00;46,05;47,86;49,34;45,83;42,29
M17;12/3/21;39;Bread;Califa;72,00;60,00;23,40;1,00;14,40;315,00;6,00;0,73;0,02;0,08;437,00;874,00;1311,00;1747,00;2184,00;45,29;47,81;50,54;53,68;55,28
M18;12/3/21;39;Bread;Conil;105,00;;48,30;0,00;24,80;499,00;10,00;0,95;0,03;0,09;271,00;542,00;812,00;1083,00;1353,00;42,17;42,15;41,50;42,63;38,26
M19;12/3/21;39;Bread;Arthur Nick;90,00;;45,10;0,00;24,00;606,00;9,00;0,92;0,02;0,06;174,00;347,00;520,00;693,00;867,00;47,88;50,65;52,35;56,46;53,89
M20;12/3/21;39;Bread;Califa;73,00;60,00;30,20;1,00;15,00;321,00;7,00;0,74;0,02;0,06;167,00;334,00;501,00;668,00;835,00;48,73;52,71;53,29;53,95;57,43
M21;12/3/21;39;Bread;Arthur Nick;89,00;;38,20;0,00;21,10;537,00;8,00;0,88;0,08;0,16;387,00;773,00;1159,00;1545,00;1931,00;31,87;35,75;40,61;45,09;43,7
M22;12/3/21;39;Bread;Conil;96,00;15,00;42,60;1,00;21,80;462,00;9,00;1,00;0,05;0,13;342,00;683,00;1024,00;1365,00;1706,00;43,75;44,29;43,27;41,03;44,06
M23;12/3/21;39;Bread;Califa;72,00;60,00;26,70;1,00;12,40;338,00;7,00;0,74;0,02;0,06;216,00;431,00;646,00;861,00;1077,00;40,18;42,90;45,01;45,63;47,28
M24;12/3/21;39;Bread;Conil;98,00;25,00;33,80;1,00;15,70;338,00;7,00;0,94;0,04;0,10;201,00;402,00;603,00;804,00;1005,00;40,54;43,16;42,33;40,57;40,66
M25;12/3/21;39;Bread;Califa;77,00;;52,00;0,00;25,60;750,00;13,00;0,80;0,03;0,10;851,00;1701,00;2551,00;3401,00;4251,00;46,61;49,71;52,58;52,95;56,79
M26;12/3/21;39;Bread;Conil;104,00;;47,00;0,00;21,00;479,00;8,00;0,90;0,09;0,23;370,00;739,00;1108,00;1478,00;1847,00;42,08;42,92;41,93;42,52;35,58
M27;12/3/21;39;Bread;Arthur Nick;80,00;20,00;38,30;1,00;18,60;545,00;10,00;0,84;0,04;0,10;196,00;391,00;586,00;781,00;976,00;39,32;40,39;42,08;44,59;43,43
M28;12/3/21;39;Bread;Conil;99,00;25,00;49,30;1,00;23,60;530,00;10,00;0,94;0,04;0,10;352,00;704,00;1056,00;1407,00;1759,00;42,45;43,52;43,12;40,82;33,62
M29;12/3/21;39;Bread;Arthur Nick;91,00;25,00;40,40;1,00;22,50;573,00;7,00;0,93;0,02;0,06;329,00;658,00;986,00;1315,00;1643,00;43,57;43,72;42,84;40,87;37,73
M30;12/3/21;39;Bread;Califa;75,00;;54,90;0,00;30,60;774,00;11,00;0,78;0,02;0,09;402,00;803,00;1204,00;1605,00;2006,00;53,26;56,20;60,34;64,98;69,85
M31;12/3/21;39;Bread;Conil;98,00;;55,70;0,00;24,90;510,00;11,00;0,98;0,06;0,14;290,00;579,00;868,00;1157,00;1447,00;43,66;45,17;43,90;42,97;43,53
M32;12/3/21;39;Bread;Arthur Nick;89,00;;49,50;0,00;25,80;688,00;11,00;0,85;0,04;0,11;330,00;660,00;989,00;1319,00;1648,00;40,08;42,15;44,10;45,44;44,19
M33;12/3/21;39;Bread;Conil;99,00;;64,50;0,00;30,50;710,00;13,00;0,93;0,06;0,18;1625,00;3249,00;4873,00;6497,00;8122,00;44,92;45,84;45,23;44,82;42,88
M34;12/3/21;39;Bread;Califa;76,00;;60,20;0,00;31,70;788,00;13,00;0,82;0,02;0,08;539,00;1077,00;1615,00;2153,00;2691,00;58,26;60,10;62,14;61,74;60,01
M35;12/3/21;39;Bread;Arthur Nick;92,00;;48,20;0,00;25,40;657,00;10,00;0,91;0,02;0,06;195,00;390,00;584,00;779,00;974,00;40,75;42,08;41,59;39,03;36,2
M36;12/3/21;39;Bread;Califa;79,00;;65,40;0,00;34,40;823,00;12,00;0,78;0,03;0,12;428,00;855,00;1283,00;1710,00;2138,00;53,02;54,22;54,27;56,33;56,52
